Label,AspectRatio,PercentFilled,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
scissors,0.7943217665615142,0.944805225718674,0.1682070316804488,0.0012507584224555,1.7782077063528766e-05,6.389958070001267e-07,-2.1524486694045026e-12,2.2593057811561663e-08,8.075710424669829e-14
clip,0.6567796610169492,0.7142700929469655,0.1879064272713755,0.006730479367004,0.0005112328062654,0.0001003950466258,2.2711262010484072e-08,8.206356498327367e-06,1.2305180649964011e-09
clip,0.7241379310344828,0.5199096880131363,0.2257480378043577,0.0150175123107819,0.0020164886692873,9.37641824822714e-05,4.108591073238766e-09,-8.712000609150722e-07,-4.0563642925304585e-08
clip,0.9365853658536586,0.8229720528455284,0.1705660041908649,0.0001047433210703,5.206265690704277e-05,5.26702733161376e-06,5.243425499160007e-11,-5.2396498755521613e-08,6.96980454266288e-11
pill,1.21953125,0.9372017136450992,0.1667397080436317,0.0007393509207257,3.5545530895964024e-05,7.235859281597355e-07,3.5420138785747765e-12,-6.714677418780781e-09,9.595084679828909e-13
cube,0.8384279475982532,0.968286481077147,0.167999778959684,0.0007687557832691,7.15526349595584e-07,1.2908713295823966e-07,1.8177024014648794e-14,2.3576111118177983e-09,-3.4766692974810865e-14
chickfila,1.3431269674711437,0.8686958945435467,0.1831438065400441,0.0055011135352601,5.677402224391692e-05,3.854593060228703e-06,1.5433637872474937e-11,-1.9374326136167778e-07,5.489366204562234e-11
unknown,1.2,0.85,0.000123,0.000456,0.000789,1.2e-05,3.4e-05,5.6e-05,7.8e-05
